date,price1,price2,signal,position,shares1,shares2,cash,position_value,portfolio_value,commission_paid,borrow_cost,total_commission,total_borrow_cost,returns,cumulative_returns
2011-06-10,23.872594833374023,17.065202713012695,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-13,23.90111351013184,16.90421485900879,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-14,24.97186088562012,17.417850494384766,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-15,24.34665870666504,16.95020866394043,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-16,24.792200088500977,17.387184143066406,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-17,24.81376266479492,17.502185821533203,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-20,24.98623275756836,17.716846466064453,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-21,25.46051406860352,18.153827667236328,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-22,25.101219177246094,17.77817153930664,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-23,25.618614196777344,18.176820755004883,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-24,25.208999633789062,17.824167251586914,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-27,25.295242309570312,17.74751091003418,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-28,25.91325569152832,17.992820739746094,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-29,25.855756759643555,17.923828125,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-30,26.02823257446289,17.87017059326172,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,26.39470863342285,18.261150360107425,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-05,26.29411506652832,18.00049591064453,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-06,26.27972984313965,17.83182716369629,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-07,26.62466621398925,18.39147186279297,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-08,26.31567001342773,18.100156784057617,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-11,26.128826141357425,17.7705020904541,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
