date,spread_raw,spread_filtered,P,K,z_score,signal,position
2011-08-29,-0.8136304522771289,-0.7701565531747925,0.002640585934374057,0.2640585934374056,0.8102362268802675,HOLD_SHORT,-1
2011-08-30,-0.7481579942211121,-0.7586797436696652,0.002640585934374057,0.2640585934374056,0.8221755311413236,HOLD_SHORT,-1
2011-08-31,-0.7462210959362077,-0.7498064922961682,0.002640585934374057,0.2640585934374056,0.8314063585664616,HOLD_SHORT,-1
2011-09-01,-0.7617400222024653,-0.7474395069720662,0.002640585934374057,0.2640585934374056,0.8338687291367218,HOLD_SHORT,-1
2011-09-02,-0.6723400337726395,-0.7221081288903206,0.002640585934374057,0.2640585934374056,0.8602209161391019,HOLD_SHORT,-1
2011-09-06,-0.7292355166725191,-0.7186758841623127,0.002640585934374057,0.2640585934374056,0.8637914741489552,HOLD_SHORT,-1
2011-09-07,-0.7407550511225991,-0.7192170445235853,0.002640585934374057,0.2640585934374056,0.8632285059996302,HOLD_SHORT,-1
2011-09-08,-0.7599402519365923,-0.7246773413596188,0.002640585934374057,0.2640585934374056,0.8575481690338592,HOLD_SHORT,-1
2011-09-09,-0.7006921961232053,-0.7130106570260573,0.002640585934374057,0.2640585934374056,0.869684999737014,HOLD_SHORT,-1
2011-09-12,-0.6913664310204437,-0.7020479724927149,0.002640585934374057,0.2640585934374056,0.8810894607157445,HOLD_SHORT,-1
2011-09-13,-0.6698962911967432,-0.6883913830295458,0.002640585934374057,0.2640585934374056,0.8952963861418627,HOLD_SHORT,-1
2011-09-14,-0.6731554403715796,-0.6793020442146669,0.002640585934374057,0.2640585934374056,0.9047520089431459,HOLD_SHORT,-1
2011-09-15,-0.6842218979185852,-0.6756019088446394,0.002640585934374057,0.2640585934374056,0.9086012531054819,HOLD_SHORT,-1
2011-09-16,-0.7247947856146579,-0.6836196765009552,0.002640585934374057,0.2640585934374056,0.9002603838507955,HOLD_SHORT,-1
2011-09-19,-0.6820379559198315,-0.6781709693263129,0.002640585934374057,0.2640585934374056,0.9059286641126915,HOLD_SHORT,-1
2011-09-20,-0.6295896804316756,-0.6603517215428596,0.002640585934374057,0.2640585934374056,0.924465995493399,HOLD_SHORT,-1
2011-09-21,-0.5802359142199447,-0.6343366524012857,0.002640585934374057,0.2640585934374056,0.9515294250741461,HOLD_SHORT,-1
2011-09-22,-0.5955490248634359,-0.6194260999488429,0.002640585934374057,0.2640585934374056,0.967040845939903,HOLD_SHORT,-1
2011-09-23,-0.6862149031858875,-0.6325036442364053,0.002640585934374057,0.2640585934374056,0.9534363001672397,HOLD_SHORT,-1
2011-09-26,-0.6774776405067628,-0.6397245582168619,0.002640585934374057,0.2640585934374056,0.945924396356597,HOLD_SHORT,-1
2011-09-27,-0.7593721999942722,-0.66661054830084,0.002640585934374057,0.2640585934374056,0.9179549492877978,HOLD_SHORT,-1
2011-09-28,-0.7199433794191319,-0.6757876776245111,0.002640585934374057,0.2640585934374056,0.9084079981783088,HOLD_SHORT,-1
2011-09-29,-0.728758262038796,-0.684801614298418,0.002640585934374057,0.2640585934374056,0.8990308160884966,HOLD_SHORT,-1
2011-09-30,-0.6857060945798406,-0.6800007114568912,0.002640585934374057,0.2640585934374056,0.904025186669201,HOLD_SHORT,-1
2011-10-03,-0.7266324999242793,-0.6873098291285288,0.002640585934374057,0.2640585934374056,0.8964215247174577,HOLD_SHORT,-1
2011-10-04,-0.7728980757678858,-0.7048519435269598,0.002640585934374057,0.2640585934374056,0.8781724946981346,HOLD_SHORT,-1
2011-10-05,-0.7577327201770161,-0.7136282697216751,0.002640585934374057,0.2640585934374056,0.8690424983619429,HOLD_SHORT,-1
2011-10-06,-0.7995506632280849,-0.7310649301699349,0.002640585934374057,0.2640585934374056,0.8509031718970844,HOLD_SHORT,-1
2011-10-07,-0.7733614014994972,-0.7368534673666062,0.002640585934374057,0.2640585934374056,0.8448813670752283,HOLD_SHORT,-1
2011-10-10,-0.8033517772769754,-0.7489901077754599,0.002640585934374057,0.2640585934374056,0.8322556419132313,HOLD_SHORT,-1
2011-10-11,-0.7425646487370368,-0.7417812817654068,0.002640585934374057,0.2640585934374056,0.8397549706300308,HOLD_SHORT,-1
2011-10-12,-0.7572439896984928,-0.7404052670743085,0.002640585934374057,0.2640585934374056,0.8411864362352903,HOLD_SHORT,-1
2011-10-13,-0.7529105244584953,-0.7382584388129795,0.002640585934374057,0.2640585934374056,0.8434197778096008,HOLD_SHORT,-1
2011-10-14,-0.7840541016568086,-0.7449180275903874,0.002640585934374057,0.2640585934374056,0.8364918195968705,HOLD_SHORT,-1
2011-10-17,-0.8335160866215374,-0.76283094622945,0.002640585934374057,0.2640585934374056,0.8178570425937526,HOLD_SHORT,-1
2011-10-18,-0.8329640189125378,-0.7757361979602138,0.002640585934374057,0.2640585934374056,0.8044317324576671,HOLD_SHORT,-1
2011-10-19,-0.7992278839994951,-0.7762304156467359,0.002640585934374057,0.2640585934374056,0.8039175986883519,HOLD_SHORT,-1
2011-10-20,-0.8558382645106377,-0.7915389512052381,0.002640585934374057,0.2640585934374056,0.7879921567140385,HOLD_SHORT,-1
2011-10-21,-0.8706824638478063,-0.8066122129423395,0.002640585934374057,0.2640585934374056,0.7723114696724536,HOLD_SHORT,-1
2011-10-24,-0.8229210367910564,-0.8049825047630166,0.002640585934374057,0.2640585934374056,0.7740068521566689,HOLD_SHORT,-1
2011-10-25,-0.8291959174170045,-0.8054520648826123,0.002640585934374057,0.2640585934374056,0.7735183696098246,HOLD_SHORT,-1
2011-10-26,-0.8107281273124962,-0.8009175992512508,0.002640585934374057,0.2640585934374056,0.778235566040587,HOLD_SHORT,-1
2011-10-27,-0.801917423172851,-0.7952873271043366,0.002640585934374057,0.2640585934374056,0.7840927280161802,HOLD_SHORT,-1
2011-10-28,-0.7985215395774534,-0.7902884999595599,0.002640585934374057,0.2640585934374056,0.7892929988931389,HOLD_SHORT,-1
2011-10-31,-0.7636205560531746,-0.7774305398992674,0.002640585934374057,0.2640585934374056,0.8026691115895948,HOLD_SHORT,-1
2011-11-01,-0.7117746154771543,-0.7543720955951497,0.002640585934374057,0.2640585934374056,0.826656769676146,HOLD_SHORT,-1
2011-11-02,-0.802041091602343,-0.7614077670203439,0.002640585934374057,0.2640585934374056,0.8193375733621632,HOLD_SHORT,-1
2011-11-03,-0.8170320503713078,-0.7704923220126767,0.002640585934374057,0.2640585934374056,0.80988692716286,HOLD_SHORT,-1
2011-11-04,-0.8062662113798522,-0.7742683528886816,0.002640585934374057,0.2640585934374056,0.8059587290423263,HOLD_SHORT,-1
2011-11-07,-0.8632828250220346,-0.7920752277889699,0.002640585934374057,0.2640585934374056,0.7874342691496947,HOLD_SHORT,-1
2011-11-08,-0.8947338205977751,-0.8133539018379023,0.002640585934374057,0.2640585934374056,0.7652981028546505,HOLD_SHORT,-1
2011-11-09,-0.8586967392364562,-0.8193412595583078,0.002640585934374057,0.2640585934374056,0.7590694653999843,HOLD_SHORT,-1
2011-11-10,-0.9005105300535083,-0.8347448313654697,0.002640585934374057,0.2640585934374056,0.7430451573873289,HOLD_SHORT,-1
2011-11-11,-0.9439760809582642,-0.8574450486391936,0.002640585934374057,0.2640585934374056,0.7194301622354108,HOLD_SHORT,-1
2011-11-14,-0.9962493544361273,-0.8877872252395308,0.002640585934374057,0.2640585934374056,0.6878652505574503,HOLD_SHORT,-1
2011-11-15,-0.9587590001975519,-0.8999943385159911,0.002640585934374057,0.2640585934374056,0.6751662125981878,HOLD_SHORT,-1
2011-11-16,-1.0274641168605352,-0.9270303978975709,0.002640585934374057,0.2640585934374056,0.6470406487093341,HOLD_SHORT,-1
